solver,bench,solution,runtime,confl,props,vprops,vivsucc
sticky,full-by-za.rules.5-7.cnf,10,6716.52,17251586,39168381761,0,0
sticky,full-cy-caa.rules.7-7.cnf,10,247.83,360272,1541225511,0,0
sticky,g2-ACG-15-10p1.cnf,10,451.2,385735,4210126098,0,0
sticky,g2-ACG-20-10p1.cnf,10,1252.77,804220,11631184931,0,0
sticky,g2-ACG-20-5p1.cnf,10,250.98,178767,2261967911,0,0
sticky,g2-ak128astepbg1btisc.cnf,10,52.65,39309,54120125,0,0
sticky,g2-ak128boothbg1btisc.cnf,10,72.12,32076,51721835,0,0
sticky,g2-ak128boothbg2asisc.cnf,10,4543.86,14908124,19967584408,0,0
sticky,g2-ak128diagobg1btaig.cnf,10,71.04,27097,47766430,0,0
sticky,g2-ak128modasbg1msisc.cnf,10,58.71,123816,72257480,0,0
sticky,g2-ak128modasbg1sbisc.cnf,10,55.83,42794,50587675,0,0
sticky,g2-ak128modbtbg1asaig.cnf,10,60.96,47193,70396036,0,0
sticky,g2-ak128modbtbg1asisc.cnf,10,40.89,38785,56264506,0,0
sticky,g2-ak128modbtbg1btaig.cnf,10,82.65,30867,60710206,0,0
sticky,g2-ak128modbtbg2msisc.cnf,10,10085.01,36532694,37571038294,0,0
sticky,g2-ak128paralbg1sbisc.cnf,10,48.21,27685,56692248,0,0
sticky,g2-ak128simpbbg1sbisc.cnf,10,61.89,53752,90685665,0,0
sticky,g2-gss-22-s100.cnf,10,3929.73,4957391,26073087302,0,0
sticky,g2-hwmcc15deep-6s105-k35.cnf,20,4283.52,15829625,21111036408,0,0
sticky,g2-hwmcc15deep-6s161-k17.cnf,20,7217.25,27472163,18910640347,0,0
sticky,g2-hwmcc15deep-6s161-k18.cnf,20,13020,41813385,29923495802,0,0
sticky,g2-hwmcc15deep-6s179-k17.cnf,20,3132.03,30928625,5200753143,0,0
sticky,g2-hwmcc15deep-6s33-k33.cnf,20,1283.37,7653134,4108184647,0,0
sticky,g2-hwmcc15deep-6s33-k34.cnf,20,2147.1,11354279,6353473055,0,0
sticky,g2-hwmcc15deep-6s340rb63-k16.cnf,20,66.18,667846,305451076,0,0
sticky,g2-hwmcc15deep-6s340rb63-k22.cnf,20,2881.11,16126320,12850270969,0,0
sticky,g2-hwmcc15deep-6s341r-k16.cnf,20,280.35,541907,1608843800,0,0
sticky,g2-hwmcc15deep-6s341r-k19.cnf,20,755.94,1344326,4557848959,0,0
sticky,g2-hwmcc15deep-6s366r-k72.cnf,20,3706.98,9597026,16032250203,0,0
sticky,g2-hwmcc15deep-6s44-k38.cnf,20,1284.24,3722603,6981701401,0,0
sticky,g2-hwmcc15deep-6s44-k40.cnf,20,2124.96,5806156,11289887045,0,0
sticky,g2-hwmcc15deep-6s516r-k17.cnf,20,4745.64,40080265,25214280425,0,0
sticky,g2-hwmcc15deep-6s516r-k18.cnf,20,11115,72793200,51450428299,0,0
sticky,g2-hwmcc15deep-beembkry8b1-k45.cnf,20,3801.36,13879157,15131079784,0,0
sticky,g2-hwmcc15deep-beemcmbrdg7f2-k32.cnf,20,5518.2,21015537,13389445721,0,0
sticky,g2-hwmcc15deep-beemlifts3b1-k29.cnf,20,9309.81,8459963,60268987105,0,0
sticky,g2-hwmcc15deep-beemloyd3b1-k31.cnf,20,2339.4,7319686,9748730762,0,0
sticky,g2-hwmcc15deep-bob12s02-k16.cnf,20,14823,206113560,46488889475,0,0
sticky,g2-hwmcc15deep-intel032-k84.cnf,20,4210.74,28215750,16280521308,0,0
sticky,g2-hwmcc15deep-intel065-k11.cnf,20,3870.21,74602994,15565236785,0,0
sticky,g2-hwmcc15deep-intel066-k10.cnf,20,2711.55,68763658,9696439316,0,0
sticky,g2-hwmcc15deep-oski15a10b06s-k24.cnf,20,13101,34213606,50811874041,0,0
sticky,g2-hwmcc15deep-oski15a10b08s-k23.cnf,20,7710.06,21979094,31337272015,0,0
sticky,g2-hwmcc15deep-oski15a10b10s-k20.cnf,20,5328.84,14781173,21482544843,0,0
sticky,g2-hwmcc15deep-oski15a10b10s-k22.cnf,20,14466,35111643,49789313157,0,0
sticky,g2-hwmcc15deep-oski15a14b04s-k16.cnf,20,697.95,3660987,4113045946,0,0
